Year,FullyID,InsuffID,DATASET
2017,18882,22075,BARCODE
2016,66037,96177,BARCODE
2015,65307,55996,BARCODE
2014,32334,3267,BARCODE
2013,11896,13966,BARCODE
2012,44125,57501,BARCODE
2011,53058,39193,BARCODE
2010,49598,57911,BARCODE
2009,12126,2675,BARCODE
2008,4479,1369,BARCODE
2007,4152,1611,BARCODE
2006,1797,1957,BARCODE
2005,822,17,BARCODE
2004,0,386,BARCODE
2003,0,0,BARCODE
2017,29333,30026,Freshwater
2016,143499,403408,Freshwater
2015,98422,138504,Freshwater
2014,35442,7205,Freshwater
2013,29618,11015,Freshwater
2012,30999,6868,Freshwater
2011,25931,11161,Freshwater
2010,18672,6797,Freshwater
2009,17647,3636,Freshwater
2008,9582,2067,Freshwater
2007,10329,2738,Freshwater
2006,6395,2089,Freshwater
2005,7233,804,Freshwater
2004,3483,398,Freshwater
2003,2887,330,Freshwater
2017,1033,,ENspecies
2016,2844,,ENspecies
2015,1282,,ENspecies
2014,885,,ENspecies
2013,1306,,ENspecies
2012,648,,ENspecies
2011,1015,,ENspecies
2010,504,,ENspecies
2009,495,,ENspecies
2008,567,,ENspecies
2007,285,,ENspecies
2006,309,,ENspecies
2005,208,,ENspecies
2004,151,,ENspecies
2003,402,,ENspecies
